Labirinto 1
###############
#---##------###
#------###---##
###-----#-----#
#I------###--##
###----------##
#F-----####--##
#---#---------#
#------####---#
###############
Solução do Labirinto 1
############### 
#---##------### 
#------###---## 
###-----#-----# 
#Ioo----###--## 
###o---------## 
#ooo---####--## 
#---#---------# 
#------####---# 
############### 
Geração : 389	Fitness : -317.74	Fitness Melhor : 1000	
Geração : 390	Fitness : -44.96	Fitness Melhor : 1000	
Geração : 391	Fitness : -248.3	Fitness Melhor : 1000	
Geração : 392	Fitness : -206.05	Fitness Melhor : 1000	
Geração : 393	Fitness : -575.68	Fitness Melhor : 1000	
Geração : 394	Fitness : -316.84	Fitness Melhor : 1000	
Geração : 395	Fitness : -454.28	Fitness Melhor : 1000	
Geração : 396	Fitness : -365.99	Fitness Melhor : 1000	
Geração : 397	Fitness : -140.74	Fitness Melhor : 1000	
Geração : 398	Fitness : -512.26	Fitness Melhor : 1000	
Geração : 399	Fitness : -366.42	Fitness Melhor : 1000	
Geração : 400	Fitness : -535.7	Fitness Melhor : 1000	
Geração : 401	Fitness : -494.62	Fitness Melhor : 1000	
Geração : 402	Fitness : -260.73	Fitness Melhor : 1000	
Geração : 403	Fitness : -261.65	Fitness Melhor : 1000	
Geração : 404	Fitness : -410.36	Fitness Melhor : 1000	
Geração : 405	Fitness : -369.17	Fitness Melhor : 1000	
Geração : 406	Fitness : -271.99	Fitness Melhor : 1000	
Geração : 407	Fitness : -386.7	Fitness Melhor : 1000	
Geração : 408	Fitness : -288.53	Fitness Melhor : 1000	
Geração : 409	Fitness : -309.74	Fitness Melhor : 1000	
Geração : 410	Fitness : -125.83	Fitness Melhor : 1000	
Geração : 411	Fitness : -249.96	Fitness Melhor : 1000	
Geração : 412	Fitness : -333.76	Fitness Melhor : 1000	
Geração : 413	Fitness : -374.85	Fitness Melhor : 1000	
Geração : 414	Fitness : -497.8	Fitness Melhor : 1000	
Geração : 415	Fitness : -351.52	Fitness Melhor : 1000	
Geração : 416	Fitness : -294.27	Fitness Melhor : 1000	
Geração : 417	Fitness : -364.81	Fitness Melhor : 1000	
Geração : 418	Fitness : -308.26	Fitness Melhor : 1000	
Geração : 419	Fitness : -204.76	Fitness Melhor : 1000	
Geração : 420	Fitness : -369.15	Fitness Melhor : 1000	
Geração : 421	Fitness : -114.81	Fitness Melhor : 1000	
Geração : 422	Fitness : -297.94	Fitness Melhor : 1000	
Geração : 423	Fitness : -314.85	Fitness Melhor : 1000	
Geração : 424	Fitness : -231.87	Fitness Melhor : 1000	
Geração : 425	Fitness : -491.46	Fitness Melhor : 1000	
Geração : 426	Fitness : -284.91	Fitness Melhor : 1000	
