Labirinto 4
###############
#I-----------F#
#-------------#
#-------------#
#-------------#
#-------------#
#-------------#
#-------------#
#-------------#
###############

Solução Labirinto 4
############### 
#Io-------oooo# 
#-oooooooooooo# 
#---oooo-----o# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
###############



Geração : 282	Fitness : 2.86	Fitness Melhor : 1000	
Geração : 283	Fitness : -194.99	Fitness Melhor : 1000	
Geração : 284	Fitness : 36.07	Fitness Melhor : 1000	
Geração : 285	Fitness : -41.87	Fitness Melhor : 1000	
Geração : 286	Fitness : -120.35	Fitness Melhor : 1000	
Geração : 287	Fitness : -168.9	Fitness Melhor : 1000	
Geração : 288	Fitness : -27.47	Fitness Melhor : 1000	
Geração : 289	Fitness : -58.71	Fitness Melhor : 1000	
Geração : 290	Fitness : -47.23	Fitness Melhor : 1000	
Geração : 291	Fitness : -82.7	Fitness Melhor : 1000	
Geração : 292	Fitness : -66.71	Fitness Melhor : 1000	
Geração : 293	Fitness : -33.51	Fitness Melhor : 1000	
Geração : 294	Fitness : -285.26	Fitness Melhor : 1000	
Geração : 295	Fitness : -91.34	Fitness Melhor : 1000	
Geração : 296	Fitness : -1.48	Fitness Melhor : 1000	
Geração : 297	Fitness : -84.62	Fitness Melhor : 1000	
Geração : 298	Fitness : -43.17	Fitness Melhor : 1000	
Geração : 299	Fitness : -81.53	Fitness Melhor : 1000	
Geração : 300	Fitness : -51.93	Fitness Melhor : 1000	
Geração : 301	Fitness : 28.54	Fitness Melhor : 1000	
Geração : 302	Fitness : -229.91	Fitness Melhor : 1000	
Geração : 303	Fitness : -4.83	Fitness Melhor : 1000	
Geração : 304	Fitness : -230.88	Fitness Melhor : 1000	
Geração : 305	Fitness : -170.18	Fitness Melhor : 1000	
Geração : 306	Fitness : -65.86	Fitness Melhor : 1000	
Geração : 307	Fitness : -16.9	Fitness Melhor : 1000	
Geração : 308	Fitness : -75.18	Fitness Melhor : 1000	
Geração : 309	Fitness : -37.17	Fitness Melhor : 1000	
Geração : 310	Fitness : -315.08	Fitness Melhor : 1000	
Geração : 311	Fitness : -68.03	Fitness Melhor : 1000	
Geração : 312	Fitness : -102.51	Fitness Melhor : 1000	
Geração : 313	Fitness : -114.29	Fitness Melhor : 1000	
Geração : 314	Fitness : -114.4	Fitness Melhor : 1000	
Geração : 315	Fitness : -73.31	Fitness Melhor : 1000	
Geração : 316	Fitness : -103.96	Fitness Melhor : 1000	
Geração : 317	Fitness : -43.72	Fitness Melhor : 1000	
Geração : 318	Fitness : -14.88	Fitness Melhor : 1000	
Geração : 319	Fitness : -220.88	Fitness Melhor : 1000	
Geração : 320	Fitness : -1.08	Fitness Melhor : 1000	
Geração : 321	Fitness : -93.59	Fitness Melhor : 1000	
Geração : 322	Fitness : -134.99	Fitness Melhor : 1000	
Geração : 323	Fitness : -84.39	Fitness Melhor : 1000	
Geração : 324	Fitness : -165.67	Fitness Melhor : 1000	
Geração : 325	Fitness : -563.42	Fitness Melhor : 1000	
Geração : 326	Fitness : -37.06	Fitness Melhor : 1000	
