Geração : 265	Fitness : 1.32	Fitness Melhor : 1000	
Geração : 266	Fitness : -292.37	Fitness Melhor : 1000	
Geração : 267	Fitness : -109.14	Fitness Melhor : 1000	
Geração : 268	Fitness : -159.53	Fitness Melhor : 1000	
Geração : 269	Fitness : -169.86	Fitness Melhor : 1000	
Geração : 270	Fitness : -120.19	Fitness Melhor : 1000	
Geração : 271	Fitness : -4.34	Fitness Melhor : 1000	
Geração : 272	Fitness : -193.5	Fitness Melhor : 1000	
Geração : 273	Fitness : -376.74	Fitness Melhor : 1000	
Geração : 274	Fitness : -85.63	Fitness Melhor : 1000	
Geração : 275	Fitness : -236.72	Fitness Melhor : 1000	
Geração : 276	Fitness : -206.72	Fitness Melhor : 1000	
Geração : 277	Fitness : -471.83	Fitness Melhor : 1000	
Geração : 278	Fitness : -306.76	Fitness Melhor : 1000	
Geração : 279	Fitness : -163.83	Fitness Melhor : 1000	
Geração : 280	Fitness : -207.82	Fitness Melhor : 1000	
Geração : 281	Fitness : -199.8	Fitness Melhor : 1000	
Geração : 282	Fitness : -240.12	Fitness Melhor : 1000	
Geração : 283	Fitness : -208.14	Fitness Melhor : 1000	
Geração : 284	Fitness : -250.42	Fitness Melhor : 1000	
Geração : 285	Fitness : -188.38	Fitness Melhor : 1000	
Geração : 286	Fitness : -389.99	Fitness Melhor : 1000	
Geração : 287	Fitness : -254.11	Fitness Melhor : 1000	
Geração : 288	Fitness : -243.06	Fitness Melhor : 1000	
Geração : 289	Fitness : -346.33	Fitness Melhor : 1000	
Geração : 290	Fitness : -313.34	Fitness Melhor : 1000	
Geração : 291	Fitness : -150.42	Fitness Melhor : 1000	
Geração : 292	Fitness : -116.17	Fitness Melhor : 1000	
Geração : 293	Fitness : -281.5	Fitness Melhor : 1000	
Geração : 294	Fitness : -290.73	Fitness Melhor : 1000	
Geração : 295	Fitness : -131.95	Fitness Melhor : 1000	
Geração : 296	Fitness : -106.88	Fitness Melhor : 1000	
Geração : 297	Fitness : -200.22	Fitness Melhor : 1000	
Geração : 298	Fitness : -177.23	Fitness Melhor : 1000	
Geração : 299	Fitness : -178.67	Fitness Melhor : 1000	
Geração : 300	Fitness : -226.17	Fitness Melhor : 1000	
Geração : 301	Fitness : -112.01	Fitness Melhor : 1000	
Geração : 302	Fitness : -318.73	Fitness Melhor : 1000	
Geração : 303	Fitness : -302.97	Fitness Melhor : 1000	
Geração : 304	Fitness : -174.05	Fitness Melhor : 1000	
Geração : 305	Fitness : -377.94	Fitness Melhor : 1000	
Geração : 306	Fitness : -151.83	Fitness Melhor : 1000	
