
Solução nova :

############### 
#Ioooooo-----o# 
#------ooooooo# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
############### 

Geração : 394	Fitness : -125.75	Fitness Melhor : 1000	
Geração : 395	Fitness : -12.34	Fitness Melhor : 1000	
Geração : 396	Fitness : -163.55	Fitness Melhor : 1000	
Geração : 397	Fitness : -47.36	Fitness Melhor : 1000	
Geração : 398	Fitness : -240.14	Fitness Melhor : 1000	
Geração : 399	Fitness : -85.83	Fitness Melhor : 1000	
Geração : 400	Fitness : -155.51	Fitness Melhor : 1000	
Geração : 401	Fitness : -147.23	Fitness Melhor : 1000	
Geração : 402	Fitness : -93.05	Fitness Melhor : 1000	
Geração : 403	Fitness : -20.32	Fitness Melhor : 1000	
Geração : 404	Fitness : -117.58	Fitness Melhor : 1000	
Geração : 405	Fitness : -46.63	Fitness Melhor : 1000	
Geração : 406	Fitness : -69.44	Fitness Melhor : 1000	
Geração : 407	Fitness : -272.74	Fitness Melhor : 1000	
Geração : 408	Fitness : -284.53	Fitness Melhor : 1000	
Geração : 409	Fitness : -61.3	Fitness Melhor : 1000	
Geração : 410	Fitness : 36.13	Fitness Melhor : 1000	
Geração : 411	Fitness : -178.86	Fitness Melhor : 1000	
Geração : 412	Fitness : -165.55	Fitness Melhor : 1000	
Geração : 413	Fitness : -160.53	Fitness Melhor : 1000	
Geração : 414	Fitness : -190.36	Fitness Melhor : 1000	
Geração : 415	Fitness : -186.8	Fitness Melhor : 1000	
Geração : 416	Fitness : -144.58	Fitness Melhor : 1000	
Geração : 417	Fitness : -13.83	Fitness Melhor : 1000	
Geração : 418	Fitness : -168.95	Fitness Melhor : 1000	
Geração : 419	Fitness : -55.82	Fitness Melhor : 1000	
Geração : 420	Fitness : -114.05	Fitness Melhor : 1000	
Geração : 421	Fitness : -169.58	Fitness Melhor : 1000	
Geração : 422	Fitness : -168.35	Fitness Melhor : 1000	
Geração : 423	Fitness : 31.05	Fitness Melhor : 1000	
Geração : 424	Fitness : 15.75	Fitness Melhor : 1000	
Geração : 425	Fitness : -251.46	Fitness Melhor : 1000	
Geração : 426	Fitness : -84.95	Fitness Melhor : 1000	
Geração : 427	Fitness : 12.77	Fitness Melhor : 1000	
Geração : 428	Fitness : -115.19	Fitness Melhor : 1000	
Geração : 429	Fitness : -402.57	Fitness Melhor : 1000	
Geração : 430	Fitness : -259.27	Fitness Melhor : 1000	
Geração : 431	Fitness : -75.87	Fitness Melhor : 1000	
Geração : 432	Fitness : -71.69	Fitness Melhor : 1000	
Geração : 433	Fitness : -154.7	Fitness Melhor : 1000	
Geração : 434	Fitness : -1.75	Fitness Melhor : 1000	
Geração : 435	Fitness : -134.29	Fitness Melhor : 1000	
Geração : 436	Fitness : -103.2	Fitness Melhor : 1000	
Geração : 437	Fitness : -139.71	Fitness Melhor : 1000	
Geração : 438	Fitness : -31.36	Fitness Melhor : 1000	
Geração : 439	Fitness : -214.13	Fitness Melhor : 1000	
Geração : 440	Fitness : -32.41	Fitness Melhor : 1000	
Geração : 441	Fitness : -95.76	Fitness Melhor : 1000	
