

Labirinto 2
###############
#I--#---#-----#
#-------#--####
###-----#-----#
#F------#-----#
######--#-----#
#---------#---#
#------#--#---#
#------#--#---#
###############

Solução do Labirinto 2
############### 
#o--#---#-----# 
#ooo----#--#### 
###o----#-----# 
#ooo----#-----# 
######--#-----# 
#---------#---# 
#------#--#---# 
#------#--#---# 
############### 

Geração : 336	Fitness : -391.09	Fitness Melhor : 1000	
Geração : 337	Fitness : -72.89	Fitness Melhor : 1000	
Geração : 338	Fitness : -309.54	Fitness Melhor : 1000	
Geração : 339	Fitness : -447.24	Fitness Melhor : 1000	
Geração : 340	Fitness : -258.84	Fitness Melhor : 1000	
Geração : 341	Fitness : -336.54	Fitness Melhor : 1000	
Geração : 342	Fitness : -233.27	Fitness Melhor : 1000	
Geração : 343	Fitness : -410.32	Fitness Melhor : 1000	
Geração : 344	Fitness : -404.48	Fitness Melhor : 1000	
Geração : 345	Fitness : -224.81	Fitness Melhor : 1000	
Geração : 346	Fitness : -575.93	Fitness Melhor : 1000	
Geração : 347	Fitness : -522.52	Fitness Melhor : 1000	
Geração : 348	Fitness : -312.61	Fitness Melhor : 1000	
Geração : 349	Fitness : -455.97	Fitness Melhor : 1000	
Geração : 350	Fitness : -267.31	Fitness Melhor : 1000	
Geração : 351	Fitness : -150.21	Fitness Melhor : 1000	
Geração : 352	Fitness : -271.88	Fitness Melhor : 1000	
Geração : 353	Fitness : -466.1	Fitness Melhor : 1000	
Geração : 354	Fitness : -390.07	Fitness Melhor : 1000	
Geração : 355	Fitness : -192.96	Fitness Melhor : 1000	
Geração : 356	Fitness : -331.47	Fitness Melhor : 1000	
Geração : 357	Fitness : -237.46	Fitness Melhor : 1000	
Geração : 358	Fitness : -396.52	Fitness Melhor : 1000	
Geração : 359	Fitness : -418.4	Fitness Melhor : 1000	
Geração : 360	Fitness : -370.07	Fitness Melhor : 1000	
Geração : 361	Fitness : -544.67	Fitness Melhor : 1000	
Geração : 362	Fitness : -154.39	Fitness Melhor : 1000	
Geração : 363	Fitness : -230.65	Fitness Melhor : 1000	
Geração : 364	Fitness : -547.46	Fitness Melhor : 1000	
Geração : 365	Fitness : -304.34	Fitness Melhor : 1000	
Geração : 366	Fitness : -370.9	Fitness Melhor : 1000	
Geração : 367	Fitness : -134.76	Fitness Melhor : 1000	
Geração : 368	Fitness : -474.06	Fitness Melhor : 1000	
Geração : 369	Fitness : -648.2	Fitness Melhor : 1000	
Geração : 370	Fitness : -421.37	Fitness Melhor : 1000	
Geração : 371	Fitness : -348.98	Fitness Melhor : 1000	
Geração : 372	Fitness : -204.96	Fitness Melhor : 1000	
Geração : 373	Fitness : -479.76	Fitness Melhor : 1000	
Geração : 374	Fitness : -392.4	Fitness Melhor : 1000	
Geração : 375	Fitness : -507.24	Fitness Melhor : 1000	
Geração : 376	Fitness : -305.61	Fitness Melhor : 1000	
Geração : 377	Fitness : -586.63	Fitness Melhor : 1000	
Geração : 378	Fitness : -379.04	Fitness Melhor : 1000	
Geração : 379	Fitness : -347.17	Fitness Melhor : 1000	
Geração : 380	Fitness : -330.67	Fitness Melhor : 1000	
Geração : 381	Fitness : -345.51	Fitness Melhor : 1000	
Geração : 382	Fitness : -276.53	Fitness Melhor : 1000	
Geração : 383	Fitness : -376.65	Fitness Melhor : 1000	
Geração : 384	Fitness : -502.75	Fitness Melhor : 1000	
Geração : 385	Fitness : -254.33	Fitness Melhor : 1000	
Geração : 386	Fitness : -407.37	Fitness Melhor : 1000	
Geração : 387	Fitness : -425.82	Fitness Melhor : 1000	
Geração : 388	Fitness : -114.6	Fitness Melhor : 1000	
Geração : 389	Fitness : -410.7	Fitness Melhor : 1000	
Geração : 390	Fitness : -205.21	Fitness Melhor : 1000	
Geração : 391	Fitness : -432.23	Fitness Melhor : 1000	
Geração : 392	Fitness : -528.96	Fitness Melhor : 1000	
Geração : 393	Fitness : -249.2	Fitness Melhor : 1000	
Geração : 394	Fitness : -342.69	Fitness Melhor : 1000	
Geração : 395	Fitness : -370.91	Fitness Melhor : 1000	
Geração : 396	Fitness : -172.42	Fitness Melhor : 1000	
Geração : 397	Fitness : -411.86	Fitness Melhor : 1000	
Geração : 398	Fitness : -230.49	Fitness Melhor : 1000	
Geração : 399	Fitness : -247.13	Fitness Melhor : 1000	
Geração : 400	Fitness : -114.9	Fitness Melhor : 1000	
Geração : 401	Fitness : -253.33	Fitness Melhor : 1000	
Geração : 402	Fitness : -310.39	Fitness Melhor : 1000	
Geração : 403	Fitness : -359.12	Fitness Melhor : 1000	
Geração : 404	Fitness : -447.04	Fitness Melhor : 1000	
Geração : 405	Fitness : -618.63	Fitness Melhor : 1000	
Geração : 406	Fitness : -268.45	Fitness Melhor : 1000	
Geração : 407	Fitness : -280.3	Fitness Melhor : 1000	
Geração : 408	Fitness : -461.37	Fitness Melhor : 1000	
Geração : 409	Fitness : -300.03	Fitness Melhor : 1000	
Geração : 410	Fitness : -308.87	Fitness Melhor : 1000	
Geração : 411	Fitness : -288.83	Fitness Melhor : 1000	
Geração : 412	Fitness : -308.23	Fitness Melhor : 1000	
Geração : 413	Fitness : -222.28	Fitness Melhor : 1000	
Geração : 414	Fitness : -372.16	Fitness Melhor : 1000	
Geração : 415	Fitness : -595.56	Fitness Melhor : 1000	
Geração : 416	Fitness : -278.53	Fitness Melhor : 1000	
Geração : 417	Fitness : -356.4	Fitness Melhor : 1000	
Geração : 418	Fitness : -323.77	Fitness Melhor : 1000	
Geração : 419	Fitness : -259.63	Fitness Melhor : 1000	
Geração : 420	Fitness : -208.83	Fitness Melhor : 1000	
Geração : 421	Fitness : -377.81	Fitness Melhor : 1000	
Geração : 422	Fitness : -456.42	Fitness Melhor : 1000	
Geração : 423	Fitness : -258.52	Fitness Melhor : 1000	
Geração : 424	Fitness : 0.51	Fitness Melhor : 1000	
