Geração : 346	Fitness : -134.66	Fitness Melhor : 1000	
Geração : 347	Fitness : -143.04	Fitness Melhor : 1000	
Geração : 348	Fitness : -107.32	Fitness Melhor : 1000	
Geração : 349	Fitness : -112.5	Fitness Melhor : 1000	
Geração : 350	Fitness : -68.11	Fitness Melhor : 1000	
Geração : 351	Fitness : -198.52	Fitness Melhor : 1000	
Geração : 352	Fitness : -63.56	Fitness Melhor : 1000	
Geração : 353	Fitness : -111.98	Fitness Melhor : 1000	
Geração : 354	Fitness : -258.86	Fitness Melhor : 1000	
Geração : 355	Fitness : -142.32	Fitness Melhor : 1000	
Geração : 356	Fitness : -101.1	Fitness Melhor : 1000	
Geração : 357	Fitness : -142.12	Fitness Melhor : 1000	
Geração : 358	Fitness : -134.84	Fitness Melhor : 1000	
Geração : 359	Fitness : -121.62	Fitness Melhor : 1000	
Geração : 360	Fitness : -178.17	Fitness Melhor : 1000	
Geração : 361	Fitness : -202.99	Fitness Melhor : 1000	
Geração : 362	Fitness : -32.93	Fitness Melhor : 1000	
Geração : 363	Fitness : -98.42	Fitness Melhor : 1000	
Geração : 364	Fitness : -180.11	Fitness Melhor : 1000	
Geração : 365	Fitness : -218.83	Fitness Melhor : 1000	
Geração : 366	Fitness : 53.47	Fitness Melhor : 1000	
Geração : 367	Fitness : -67.95	Fitness Melhor : 1000	
Geração : 368	Fitness : -225.67	Fitness Melhor : 1000	
Geração : 369	Fitness : -174.32	Fitness Melhor : 1000	
Geração : 370	Fitness : -181.54	Fitness Melhor : 1000	
Geração : 371	Fitness : -139.19	Fitness Melhor : 1000	
Geração : 372	Fitness : -70.93	Fitness Melhor : 1000	
Geração : 373	Fitness : -125.47	Fitness Melhor : 1000	
Geração : 374	Fitness : -28.44	Fitness Melhor : 1000	
Geração : 375	Fitness : -104.41	Fitness Melhor : 1000	
Geração : 376	Fitness : -93.44	Fitness Melhor : 1000	
Geração : 377	Fitness : -143.84	Fitness Melhor : 1000	
Geração : 378	Fitness : -106.34	Fitness Melhor : 1000	
Geração : 379	Fitness : -31.86	Fitness Melhor : 1000	
Geração : 380	Fitness : -241.59	Fitness Melhor : 1000	
Geração : 381	Fitness : -51.77	Fitness Melhor : 1000	
Geração : 382	Fitness : -37.96	Fitness Melhor : 1000	
Geração : 383	Fitness : -161.31	Fitness Melhor : 1000	
Geração : 384	Fitness : -111.87	Fitness Melhor : 1000	
Geração : 385	Fitness : -121.52	Fitness Melhor : 1000	
Geração : 386	Fitness : -72.57	Fitness Melhor : 1000	
Geração : 387	Fitness : -63.94	Fitness Melhor : 1000	
